name	Email	Social Networks	Internet Banking	News Sportsites	Search Engine	View Shopping sites	Paying Online	Buy Online	Stream Music	Online Gaming	Navigation	App connected to TV program	Offline Gaming	Photo Video	Reading	Listen Music	Watch TV	TV Movies Streaming	Listen Radio	Sending Money	Other	Use less Once week
Smartphone	0.59	0.56	0.42	0.34	0.48	0.14	0.11	0.05	0.07	0.12	0.27	0.03	0.12	0.4	0.03	0.22	0.03	0.03	0.07	0.18	0.07	0.08
Tablet	0.48	0.41	0.27	0.28	0.46	0.29	0.11	0.14	0.05	0.19	0.14	0.06	0.24	0.17	0.15	0.12	0.1	0.14	0.06	0.16	0.07	0.17
